X1,X2,Y
84,17,2
83,26,2
88,21,2
71,15,2
77,19,2
78,21,2
82,20,2
79,20,2
81,29,2
75,13,2
79,17,2
77,24,2
81,26,2
83,26,2
77,22,2
78,20,2
72,11,2
84,19,2
76,13,2
71,25,2
82,20,2
79,16,2
78,22,2
85,26,2
78,16,2
72,24,2
73,30,2
80,17,2
72,23,2
75,29,2
81,16,2
80,10,2
84,9,2
77,14,2
88,19,2
76,24,2
74,24,2
74,22,2
77,27,2
84,17,2
79,27,2
78,17,2
72,18,2
87,23,2
81,28,2
83,15,2
71,15,2
83,14,2
90,20,2
82,27,2
85,19,2
81,9,2
78,15,2
80,13,2
92,24,2
70,20,2
84,17,2
71,22,2
85,18,2
85,26,2
90,17,2
85,17,2
82,14,2
89,24,2
79,12,2
75,23,2
78,28,2
80,26,2
75,16,2
82,10,2
70,17,2
81,22,2
77,22,2
83,14,2
83,25,2
77,22,2
83,23,2
86,28,2
89,25,2
78,20,2
86,18,2
82,22,2
79,20,2
88,25,2
84,14,2
78,29,2
80,23,2
79,16,2
90,13,2
80,16,2
86,20,2
81,19,2
78,14,2
82,15,2
74,20,2
82,12,2
80,27,2
77,15,2
89,22,2
77,19,2
74,26,2
83,19,2
79,22,2
86,15,2
78,13,2
86,21,2
84,19,2
82,22,2
88,24,2
82,28,2
76,23,2
82,13,2
77,22,2
81,20,2
82,19,2
74,23,2
77,28,2
83,22,2
80,5,2
85,21,2
80,29,2
81,17,2
83,17,2
83,22,2
80,21,2
89,19,2
75,23,2
76,28,2
75,21,2
82,22,2
78,18,2
87,13,2
78,27,2
76,23,2
74,24,2
78,23,2
78,26,2
81,22,2
85,13,2
78,21,2
74,21,2
79,23,2
77,24,2
81,33,2
65,21,2
82,17,2
82,18,2
82,24,2
86,14,2
84,26,2
75,20,2
82,23,2
83,15,2
79,18,2
81,35,2
82,25,2
81,20,2
69,28,2
75,15,2
84,18,2
83,19,2
73,19,2
74,23,2
80,19,2
78,18,2
76,25,2
78,23,2
67,21,2
81,21,2
85,32,2
75,16,2
80,19,2
80,17,2
80,18,2
70,24,2
73,16,2
78,19,2
89,27,2
95,26,2
81,17,2
82,27,2
76,18,2
84,24,2
81,18,2
83,23,2
79,21,2
83,20,2
81,14,2
78,21,2
83,24,2
86,27,2
72,21,2
72,16,2
82,25,2
83,18,2
77,16,2
90,17,2
80,16,2
81,15,2
92,22,2
80,13,2
78,24,2
77,29,2
76,14,2
84,15,2
85,25,2
85,22,2
82,14,2
84,24,2
83,24,2
79,21,2
86,18,2
80,21,2
76,14,2
79,20,2
61,77,1
59,72,1
56,67,1
62,69,1
62,72,1
66,65,1
48,81,1
61,62,1
65,68,1
56,72,1
64,62,1
59,79,1
62,69,1
63,67,1
57,81,1
54,76,1
52,76,1
51,67,1
60,72,1
53,70,1
56,66,1
50,74,1
60,68,1
60,83,1
60,70,1
60,70,1
70,70,1
63,67,1
61,72,1
53,62,1
63,74,1
59,77,1
69,78,1
68,68,1
63,70,1
66,70,1
60,60,1
63,76,1
59,78,1
59,69,1
64,71,1
58,70,1
49,67,1
61,75,1
58,72,1
66,67,1
59,65,1
63,65,1
63,80,1
63,74,1
57,66,1
66,74,1
63,72,1
62,74,1
62,82,1
55,60,1
56,72,1
57,72,1
66,64,1
58,72,1
65,72,1
56,68,1
55,63,1
57,74,1
61,63,1
57,73,1
55,65,1
61,68,1
57,72,1
60,70,1
66,69,1
63,65,1
68,67,1
64,67,1
67,73,1
61,63,1
53,61,1
59,75,1
70,71,1
65,73,1
55,75,1
55,73,1
60,65,1
60,72,1
64,73,1
58,74,1
61,70,1
58,69,1
62,71,1
57,68,1
59,70,1
60,66,1
56,66,1
55,63,1
59,69,1
54,61,1
64,76,1
62,67,1
58,66,1
55,67,1
54,72,1
62,73,1
70,69,1
59,73,1
49,74,1
62,72,1
47,75,1
58,71,1
65,81,1
54,67,1
59,66,1
27,29,0
12,27,0
18,33,0
23,31,0
15,29,0
16,29,0
22,33,0
18,30,0
13,28,0
23,35,0
24,26,0
20,27,0
16,23,0
20,28,0
18,27,0
15,32,0
19,31,0
17,34,0
20,31,0
22,29,0
17,26,0
18,31,0
17,39,0
26,28,0
16,32,0
13,26,0
23,26,0
12,33,0
28,29,0
21,28,0
22,26,0
25,35,0
21,30,0
26,31,0
24,32,0
21,26,0
18,28,0
23,26,0
17,27,0
24,39,0
19,22,0
18,32,0
22,31,0
23,38,0
18,34,0
19,24,0
23,34,0
17,32,0
24,28,0
20,30,0
13,26,0
20,31,0
24,25,0
18,36,0
20,33,0
21,27,0
30,30,0
20,42,0
10,31,0
12,31,0
28,24,0
15,26,0
28,30,0
14,39,0
24,27,0
20,22,0
16,34,0
19,28,0
24,32,0
13,33,0
28,33,0
21,31,0
20,20,0
7,35,0
23,37,0
29,25,0
17,26,0
21,24,0
21,27,0
20,38,0
21,31,0
21,33,0
35,36,0
21,30,0
17,33,0
18,31,0
17,35,0
27,23,0
14,24,0
24,37,0
13,36,0
24,24,0
21,24,0
18,30,0
24,25,0
25,33,0
15,34,0
22,27,0
20,31,0
15,34,0
4,25,0
12,28,0
22,30,0
7,34,0
24,33,0
21,27,0
13,34,0
16,28,0
12,30,0
21,42,0
23,36,0
18,35,0
19,29,0
15,33,0
23,41,0
19,32,0
17,24,0
28,23,0
23,33,0
20,36,0
20,24,0
19,26,0
21,30,0
22,37,0
21,26,0
14,37,0
10,25,0
16,33,0
24,33,0
13,23,0
18,28,0
17,32,0
23,30,0
14,33,0
26,30,0
20,23,0
21,34,0
20,24,0
25,27,0
13,26,0
22,21,0
14,20,0
15,22,0
33,30,0
19,33,0
9,27,0
26,26,0
23,36,0
19,27,0
23,28,0
18,21,0
21,32,0
20,37,0
13,33,0
24,34,0
16,27,0
18,28,0
29,37,0
11,37,0
15,30,0
21,34,0
14,23,0
21,24,0
21,30,0
23,49,0
16,22,0
12,33,0
20,26,0
16,28,0
32,31,0
31,20,0
23,37,0
28,31,0
